,NOMBDIST,NOMBPROV,NOMBDEP,POBLACION,DISTANCIA,riesgo
14,YANAQUIHUA,CONDESUYOS,AREQUIPA,4415.0,63.52277871430875,66.23223958420137
15,MACHAGUAY,CASTILLA,AREQUIPA,564.0,116.49951938187118,50.77913343890461
16,ORCOPAMPA,CASTILLA,AREQUIPA,8906.0,168.3265928443687,46.99316938818117
17,PAMPACOLCA,CASTILLA,AREQUIPA,2269.0,99.02122518342236,62.544608797754435
18,URACA,CASTILLA,AREQUIPA,7199.0,94.3092708683183,64.44417581609066
19,LLUTA,CAYLLOMA,AREQUIPA,830.0,149.20140752647885,46.63563481552286
20,MACA,CAYLLOMA,AREQUIPA,776.0,177.7411322416136,47.060967458623026
21,MADRIGAL,CAYLLOMA,AREQUIPA,706.0,178.43151709024139,47.06364333517489
22,PUNTA DE BOMBON,ISLAY,AREQUIPA,6986.0,226.740360770912,37.31765214429051
23,QUECHUALLA,LA UNION,AREQUIPA,291.0,101.52824498072479,61.382809768526975
24,TORO,LA UNION,AREQUIPA,578.0,92.15444542143639,65.20473429066081
25,VITOR,AREQUIPA,AREQUIPA,4344.0,155.51185082582302,46.793040045088794
26,CAMANA,CAMANA,AREQUIPA,14163.0,90.66394460004244,63.34704696925969
27,NICOLAS DE PIEROLA,CAMANA,AREQUIPA,7818.0,89.59879322691376,65.55458602892399
28,CAYMA,AREQUIPA,AREQUIPA,102189.0,208.07355635350095,45.13381465879061
29,POCSI,AREQUIPA,AREQUIPA,500.0,224.31383208196436,38.48241300135455
30,BELLA UNION,CARAVELI,AREQUIPA,3396.0,169.21798285172508,47.002195987363706
31,AREQUIPA,AREQUIPA,AREQUIPA,60711.0,200.98666904824302,47.362966194360176
32,JOSE LUIS BUSTAMANTE Y RIVERO,AREQUIPA,AREQUIPA,87469.0,202.96363160085104,46.83506328541394
33,MIRAFLORES,AREQUIPA,AREQUIPA,64560.0,207.4387182490516,46.25027656960589
34,SACHACA,AREQUIPA,AREQUIPA,26226.0,197.2201906597594,47.96415106969446
35,MARIANO MELGAR,AREQUIPA,AREQUIPA,65557.0,208.56141343088137,46.04224867016285
36,ANCHIHUAY,LA MAR,AYACUCHO,4740.0,354.94755054237913,6.700632993168469
39,CURAHUASI,ABANCAY,APURIMAC,17323.0,290.3088150014983,21.048593212023253
40,OCOBAMBA,CHINCHEROS,APURIMAC,7200.0,292.82132781165325,7.465057565024025
41,PACOBAMBA,ANDAHUAYLAS,APURIMAC,3573.0,290.68681384373616,7.5038096955195295
52,EL PORVENIR,CHINCHEROS,APURIMAC,1812.0,304.98934485014973,7.256798556634997
53,ROCCHACC,CHINCHEROS,APURIMAC,2849.0,299.04574454963233,7.355746951886999
58,LOS CHANKAS,CHINCHEROS,APURIMAC,1052.0,308.2609743850318,7.204739598589191
59,SAN MIGUEL,SAN ROMAN,PUNO,66909.0,360.28968415951005,24.99690155125885
60,MOLLENDO,ISLAY,AREQUIPA,27794.0,180.28130404791264,49.99309595678012
61,COCACHACRA,ISLAY,AREQUIPA,9186.0,210.63544140364985,43.0218495548468
62,CHARACATO,AREQUIPA,AREQUIPA,14336.0,218.2462213859499,39.643630249637106
68,CALAPUJA,LAMPA,PUNO,1703.0,351.5292958144999,6.7189004266872026
69,ACHAYA,AZANGARO,PUNO,2993.0,359.7640329963154,6.681225733543873
71,SANTA ROSA,MELGAR,PUNO,6461.0,328.02431467873606,6.931286654610283
72,MAÑAZO,PUNO,PUNO,5358.0,321.53614615539493,7.01274215849814
73,SANTA LUCIA,LAMPA,PUNO,7567.0,286.6133085345236,7.579475725230829
75,PARATIA,LAMPA,PUNO,2926.0,298.4643660672468,7.365716846520644
79,SANTIAGO DE PUPUJA,AZANGARO,PUNO,4703.0,357.7743431500858,6.68831614646137
80,PUCARA,LAMPA,PUNO,5551.0,337.74040077248355,6.826592916908344
82,UMACHIRI,MELGAR,PUNO,3922.0,317.309871913127,7.0703413869444285
83,CUPI,MELGAR,PUNO,2134.0,302.8232071172441,7.292221176016315
88,TAPAY,CAYLLOMA,AREQUIPA,815.0,176.09259709758447,47.053346713247215
188,PACUCHA,ANDAHUAYLAS,APURIMAC,8585.0,282.5202437986341,7.657681123264619
189,COLQUEMARCA,CHUMBIVILCAS,CUSCO,7570.0,258.70771135818404,8.15121885538342
190,LLUSCO,CHUMBIVILCAS,CUSCO,4781.0,224.68878776236858,38.312836963466026
191,QUIÑOTA,CHUMBIVILCAS,CUSCO,4185.0,234.40897765592652,32.113405513082434
192,KUNTURKANKI,CANAS,CUSCO,5345.0,287.2615957929323,7.5672865465740955
193,LANGUI,CANAS,CUSCO,2223.0,298.5480689765712,7.36427833266595
194,TUPAC AMARU,CANAS,CUSCO,2737.0,299.0631667225155,7.355448966035165
195,ACOPIA,ACOMAYO,CUSCO,2987.0,309.14971795710176,7.190905103568571
196,MOSOC LLACTA,ACOMAYO,CUSCO,1214.0,306.6829106953246,7.229630161296834
