,NOMBDIST,NOMBPROV,NOMBDEP,POBLACION,DISTANCIA,riesgo
161,LIMA,LIMA,LIMA,293647.0,2.4263357399612,56.7729286189351
162,MIRAFLORES,LIMA,LIMA,114188.0,8.586318524650242,59.31052317436053
163,MAGDALENA DEL MAR,LIMA,LIMA,67156.0,7.081693396836174,49.187441793340476
164,SAN LUIS,LIMA,LIMA,59084.0,4.801311005444528,48.87148782035313
165,SANTA ANITA,LIMA,LIMA,221039.0,7.076129262263885,59.05552482431135
166,SURQUILLO,LIMA,LIMA,105715.0,7.943547060601686,59.21558674144861
167,BREÑA,LIMA,LIMA,97431.0,3.0108916613021592,48.75706102267996
168,SANTA ROSA,LIMA,LIMA,29860.0,30.189373147459655,48.39497069225178
218,VENTANILLA,CALLAO,CALLAO,347244.0,21.311906910182735,59.18544993831295
220,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO,48492.0,6.778704855421863,49.15777954736016
221,CALLAO,CALLAO,CALLAO,521346.0,10.587769446448505,62.8365458323327
222,BELLAVISTA,CALLAO,CALLAO,87471.0,9.088815598188159,49.33286421129528
225,SAN JUAN DE MIRAFLORES,LIMA,LIMA,421017.0,14.351612456025672,61.211747332371985
226,SANTIAGO DE SURCO,LIMA,LIMA,410587.0,10.445025271744797,62.85876997970686
227,VILLA EL SALVADOR,LIMA,LIMA,429509.0,21.454010466797424,60.15040527451822
228,EL AGUSTINO,LIMA,LIMA,220858.0,4.444316041755389,58.27029742166452
229,LOS OLIVOS,LIMA,LIMA,362222.0,9.292227380857176,61.96827722758535
271,HUARAL,HUARAL,LIMA,111809.0,74.22974057312514,
272,CHANCAY,HUARAL,LIMA,64072.0,66.48918059615727,49.166858594511986
273,SUMBILCA,HUARAL,LIMA,888.0,74.19973832611835,
274,ANTIOQUIA,HUAROCHIRI,LIMA,1424.0,47.85508193139554,38.25908606547981
275,CALLAHUANCA,HUAROCHIRI,LIMA,923.0,55.48618315613506,39.04472197240567
277,CARABAYLLO,LIMA,LIMA,360561.0,26.766193936329806,61.50630336416917
278,PUCUSANA,LIMA,LIMA,15507.0,54.25385598065702,38.96857592691858
279,PUNTA NEGRA,LIMA,LIMA,7836.0,45.09937020776652,39.08318554273567
495,MARIATANA,HUAROCHIRI,LIMA,1571.0,76.09237673090531,
496,SAN BARTOLOME,HUAROCHIRI,LIMA,1374.0,59.12828687825344,39.12044629962376
497,SAN JUAN DE IRIS,HUAROCHIRI,LIMA,768.0,70.69256661637851,36.91316964452897
500,SANTIAGO DE TUNA,HUAROCHIRI,LIMA,476.0,54.89990303665333,39.01541188752038
617,CHILCA,CAÑETE,LIMA,23077.0,60.8894206000122,48.96561238867817
806,LURIGANCHO,LIMA,LIMA,230978.0,27.26039740315162,57.66360859303055
807,SAN BORJA,LIMA,LIMA,134317.0,7.003330852649432,59.040343903146876
808,SAN MIGUEL,LIMA,LIMA,175411.0,7.682120429077674,59.171495119485684
809,RIMAC,LIMA,LIMA,190288.0,2.2174033900910235,56.485116143200436
810,INDEPENDENCIA,LIMA,LIMA,230144.0,6.458614890869413,58.91847816437893
811,SAN ISIDRO,LIMA,LIMA,72942.0,6.244567517532168,49.09837508174098
812,BARRANCO,LIMA,LIMA,38748.0,11.189823134819534,48.87817654240897
867,LA PUNTA,CALLAO,CALLAO,4590.0,14.98920555687584,46.64104845058618
870,PUENTE PIEDRA,LIMA,LIMA,361606.0,19.971261262132664,61.79441973719406
871,SAN MARTIN DE PORRES,LIMA,LIMA,740749.0,8.612128505577111,61.76293900412809
872,COMAS,LIMA,LIMA,581447.0,12.67324343387756,61.8212014454649
